"活动总结","活动名称","活动地点","参加人员范围","活动具体实施方案","活动时间"
"为加强城建法规宣传学习，城建局于2021年5月22日下午，在墨河广场设点宣传城市建设法律法规。宣传内容涉及《民法典》、《城市绿化管理条例等宣传材料。
","普法宣传","古城","房产服务中心、住宅保障发展服务中心、市政公用事业服务中心、园林服务中心、建筑业发展服务中心、法规科","一是设置法律法规咨询台，开展城市建设法律法规宣传咨询活动，面对面地接受群众咨询，并发放宣传材料；共发放宣传材料100余份。
二是通过悬挂宣传横幅、板报等形式宣传各项法律法规和规章制度。
三是组织工作人员向居民发放城市建设法律法规宣传材料，宣传《民法典》。
通过以上形式的法律法规宣传活动，增进了群众对城市建设工作的了解和认识，为构建和谐城建营造了良好氛围。
","2021-05-22 00:00:00.0"
"为加强城建法规宣传学习，城建局于2021年5月22日下午，在墨河广场设点宣传城市建设法律法规。宣传内容涉及《民法典》、《城市绿化管理条例等宣传材料。
","普法宣传","古城","房产服务中心、住宅保障发展服务中心、市政公用事业服务中心、园林服务中心、建筑业发展服务中心、法规科","二是丰富宣传方式。围绕提高全民国家安全意识，住建局通过在电子显示屏滚动播放宣传标语，制作宣传材料，制作条幅，在古城参与定点集中宣传等方式，夯实和筑牢国家安全的群众基础。","2021-05-22 00:00:00.0"
"为加强城建法规宣传学习，城建局于2021年5月22日下午，在墨河广场设点宣传城市建设法律法规。宣传内容涉及《民法典》、《城市绿化管理条例等宣传材料。
","普法宣传","古城","房产服务中心、住宅保障发展服务中心、市政公用事业服务中心、园林服务中心、建筑业发展服务中心、法规科","二是丰富宣传方式。围绕提高全民国家安全意识，住建局通过在电子显示屏滚动播放宣传标语，制作宣传材料，制作条幅，在古城参与定点集中宣传等方式，夯实和筑牢国家安全的群众基础。","2021-05-22 00:00:00.0"
"为加强城建法规宣传学习，城建局于2021年6月22日下午，在墨河广场设点宣传城市建设法律法规。宣传内容涉及《民法典》、《城市绿化管理条例》等宣传材料。
","普法宣传","","房产服务中心、住宅保障发展服务中心、市政公用事业服务中心、园林服务中心、建筑业发展服务中心、法规科","一是设置法律法规咨询台，开展城市建设法律法规宣传咨询活动，面对面地接受群众咨询，并发放宣传材料；共发放宣传材料500余份。
二是通过悬挂宣传横幅、板报等形式宣传各项法律法规和规章制度。
三是组织工作人员向居民发放城市建设法律法规宣传材料，宣传《民法典》。
通过以上形式的法律法规宣传活动，增进了群众对城市建设工作的了解和认识，为构建和谐城建营造了良好氛围。
","2021-06-22 00:00:00.0"
"为加强城建法规宣传学习，城建局于2021年6月22日下午，在墨河广场设点宣传城市建设法律法规。宣传内容涉及《民法典》、《城市绿化管理条例》等宣传材料。
","普法宣传","","房产服务中心、住宅保障发展服务中心、市政公用事业服务中心、园林服务中心、建筑业发展服务中心、法规科","一是设置法律法规咨询台，开展城市建设法律法规宣传咨询活动，面对面地接受群众咨询，并发放宣传材料；共发放宣传材料500余份。
二是通过悬挂宣传横幅、板报等形式宣传各项法律法规和规章制度。
三是组织工作人员向居民发放城市建设法律法规宣传材料，宣传《民法典》。
通过以上形式的法律法规宣传活动，增进了群众对城市建设工作的了解和认识，为构建和谐城建营造了良好氛围。
","2021-06-22 00:00:00.0"
"为加强城建法规宣传学习，城建局于2021年6月22日下午，在墨河广场设点宣传城市建设法律法规。宣传内容涉及《民法典》、《城市绿化管理条例》等宣传材料。
","普法宣传","","房产服务中心、住宅保障发展服务中心、市政公用事业服务中心、园林服务中心、建筑业发展服务中心、法规科","一是设置法律法规咨询台，开展城市建设法律法规宣传咨询活动，面对面地接受群众咨询，并发放宣传材料；共发放宣传材料500余份。
二是通过悬挂宣传横幅、板报等形式宣传各项法律法规和规章制度。
三是组织工作人员向居民发放城市建设法律法规宣传材料，宣传《民法典》。
通过以上形式的法律法规宣传活动，增进了群众对城市建设工作的了解和认识，为构建和谐城建营造了良好氛围。
","2021-06-22 00:00:00.0"
"为了深入贯彻近期各级安全会议精神，进一步巩固10月中旬瓶装液化石油气配送人员培训效果，10月22日上午，区住建局组织51家液化气企业负责人召开安全生产会议。","即墨区召开液化气企业安全生产会议","区住建局","房产服务中心、住宅保障发展服务中心、市政公用事业服务中心、园林服务中心、建筑业发展服务中心、法规科、各镇街环卫部门负责人","会议传达了六部委文件精神、江苏省配送人员管理经验办法，通报湖北十堰燃气事故爆炸原因剖析和事故警示和今年以来我区液化气违法经营处罚情况。会议强调，各液化气企业自查自纠，坚决落实安全生产主体责任，严禁杜绝违法充装、违规操作、未入户安检、为配送人员以外的单位或个人提供用于经营的燃气等违法违规行为。要求各企业一定要充分认识当前安全生产形式的严峻性、复杂性、突发性，进一步强化红线意识，时刻保持忧患意识、危机意识，时时处处想安全、抓安全，“从根本上消除事故隐患”。","2021-10-22 00:00:00.0"
"为了深入贯彻近期各级安全会议精神，进一步巩固10月中旬瓶装液化石油气配送人员培训效果，10月22日上午，区住建局组织51家液化气企业负责人召开安全生产会议。","即墨区召开液化气企业安全生产会议","区住建局","房产服务中心、住宅保障发展服务中心、市政公用事业服务中心、园林服务中心、建筑业发展服务中心、法规科、各镇街环卫部门负责人","会议传达了六部委文件精神、江苏省配送人员管理经验办法，通报湖北十堰燃气事故爆炸原因剖析和事故警示和今年以来我区液化气违法经营处罚情况。会议强调，各液化气企业自查自纠，坚决落实安全生产主体责任，严禁杜绝违法充装、违规操作、未入户安检、为配送人员以外的单位或个人提供用于经营的燃气等违法违规行为。要求各企业一定要充分认识当前安全生产形式的严峻性、复杂性、突发性，进一步强化红线意识，时刻保持忧患意识、危机意识，时时处处想安全、抓安全，“从根本上消除事故隐患”。","2021-10-22 00:00:00.0"
"为了深入贯彻近期各级安全会议精神，进一步巩固10月中旬瓶装液化石油气配送人员培训效果，10月22日上午，区住建局组织51家液化气企业负责人召开安全生产会议。","即墨区召开液化气企业安全生产会议","区住建局","房产服务中心、住宅保障发展服务中心、市政公用事业服务中心、园林服务中心、建筑业发展服务中心、法规科、各镇街环卫部门负责人","会议传达了六部委文件精神、江苏省配送人员管理经验办法，通报湖北十堰燃气事故爆炸原因剖析和事故警示和今年以来我区液化气违法经营处罚情况。会议强调，各液化气企业自查自纠，坚决落实安全生产主体责任，严禁杜绝违法充装、违规操作、未入户安检、为配送人员以外的单位或个人提供用于经营的燃气等违法违规行为。要求各企业一定要充分认识当前安全生产形式的严峻性、复杂性、突发性，进一步强化红线意识，时刻保持忧患意识、危机意识，时时处处想安全、抓安全，“从根本上消除事故隐患”。","2021-10-22 00:00:00.0"
"为全力打通燃气服务“最后一米”，深入开展燃气安全宣传与服务，10月16日上午，市政中心组织燃气企业在即墨古城、即发阳光城等地开展燃气服务进社区专项行动，着实把温暖服务送到人民群众手中和心中。","燃气安全宣传与服务","即墨古城","房产服务中心、住宅保障发展服务中心、市政公用事业服务中心、园林服务中心、建筑业发展服务中心、法规科、各镇街环卫部门负责人","据统计，本次活动共设集中服务咨询点3个，出动人员30余人，入户进行燃气安检240余户，发放宣传材料1000余份，解决燃气问题20余个，发现并排除燃气安全隐患11处。","2021-10-16 00:00:00.0"
"为全力打通燃气服务“最后一米”，深入开展燃气安全宣传与服务，10月16日上午，市政中心组织燃气企业在即墨古城、即发阳光城等地开展燃气服务进社区专项行动，着实把温暖服务送到人民群众手中和心中。","燃气安全宣传与服务","即墨古城","房产服务中心、住宅保障发展服务中心、市政公用事业服务中心、园林服务中心、建筑业发展服务中心、法规科、各镇街环卫部门负责人","据统计，本次活动共设集中服务咨询点3个，出动人员30余人，入户进行燃气安检240余户，发放宣传材料1000余份，解决燃气问题20余个，发现并排除燃气安全隐患11处。","2021-10-16 00:00:00.0"
"为全力打通燃气服务“最后一米”，深入开展燃气安全宣传与服务，10月16日上午，市政中心组织燃气企业在即墨古城、即发阳光城等地开展燃气服务进社区专项行动，着实把温暖服务送到人民群众手中和心中。","燃气安全宣传与服务","即墨古城","房产服务中心、住宅保障发展服务中心、市政公用事业服务中心、园林服务中心、建筑业发展服务中心、法规科、各镇街环卫部门负责人","据统计，本次活动共设集中服务咨询点3个，出动人员30余人，入户进行燃气安检240余户，发放宣传材料1000余份，解决燃气问题20余个，发现并排除燃气安全隐患11处。","2021-10-16 00:00:00.0"
"为全力打通燃气服务“最后一米”，深入开展燃气安全宣传与服务，11月16日上午，市政中心组织燃气企业在即墨古城、即发阳光城等地开展燃气服务进社区专项行动，着实把温暖服务送到人民群众手中和心中。","燃气安全宣传与服务","即墨古城","房产服务中心、住宅保障发展服务中心、市政公用事业服务中心、园林服务中心、建筑业发展服务中心、法规科、各镇街环卫部门负责人","据统计，本次活动共设集中服务咨询点3个，出动人员30余人，入户进行燃气安检240余户，发放宣传材料1000余份，解决燃气问题20余个，发现并排除燃气安全隐患11处。","2021-11-16 00:00:00.0"
"为全力打通燃气服务“最后一米”，深入开展燃气安全宣传与服务，11月16日上午，市政中心组织燃气企业在即墨古城、即发阳光城等地开展燃气服务进社区专项行动，着实把温暖服务送到人民群众手中和心中。","燃气安全宣传与服务","即墨古城","房产服务中心、住宅保障发展服务中心、市政公用事业服务中心、园林服务中心、建筑业发展服务中心、法规科、各镇街环卫部门负责人","据统计，本次活动共设集中服务咨询点3个，出动人员30余人，入户进行燃气安检240余户，发放宣传材料1000余份，解决燃气问题20余个，发现并排除燃气安全隐患11处。","2021-11-16 00:00:00.0"
"为全力打通燃气服务“最后一米”，深入开展燃气安全宣传与服务，2月16日上午，市政中心组织燃气企业在即墨古城、即发阳光城等地开展燃气服务进社区专项行动，着实把温暖服务送到人民群众手中和心中。","燃气安全宣传与服务","即墨古城","市政公用事业服务中心、园林服务中心、建筑业发展服务中心、法规科、各镇街环卫部门负责人","据统计，本次活动共设集中服务咨询点3个，出动人员30余人，入户进行燃气安检120余户，发放宣传材料1000余份，解决燃气问题15余个，发现并排除燃气安全隐患9处。","2022-02-16 00:00:00.0"
"为提高服务质量，促进用气营商环境优化提升，保障用气安全，4月14日下午，市政中心组织召开工商用户座谈会暨复工复产安全会，会上对燃气常识、燃气使用安全知识进行了讲解，广泛听取了用户在使用过程中发现的问题，燃气企业对提出问题进行了一一解答，会后，对商业用户用气现场进行了安全检查，发现安全隐患2处，均已现场整改。","燃气安全宣传与服务","市政中心","市政公用事业服务中心、企业","燃气企业对提出问题进行了一一解答，会后，对商业用户用气现场进行了安全检查，发现安全隐患2处，均已现场整改。","2022-04-14 00:00:00.0"
"为相应国务院号召，完善建设领域矛盾纠纷多元化解机制，推动矛盾纠纷的依法化解、妥善解决，今天，我局会同青岛市住建局和即墨区信访局、公安局、人社局、司法局共同举行“青岛建纬城乡建设调解中心即墨区中心”揭牌仪式，","“即墨调解中心”的成立，","区住建局","房产服务中心、住宅保障发展服务中心、市政公用事业服务中心、园林服务中心、建筑业发展服务中心、法规科、各镇街环卫部门负责人","“即墨中心”的成立，是我区建设系统拓展矛盾纠纷化解途径、构建和谐营商环境的重要举措，将填补化解合同纠纷、结算纠纷等问题的空白，对维护建设市场秩序具有重大的意义。","2021-10-12 00:00:00.0"
"为相应国务院号召，完善建设领域矛盾纠纷多元化解机制，推动矛盾纠纷的依法化解、妥善解决，今天，我局会同青岛市住建局和即墨区信访局、公安局、人社局、司法局共同举行“青岛建纬城乡建设调解中心即墨区中心”揭牌仪式，","“即墨调解中心”的成立，","区住建局","房产服务中心、住宅保障发展服务中心、市政公用事业服务中心、园林服务中心、建筑业发展服务中心、法规科、各镇街环卫部门负责人","“即墨中心”的成立，是我区建设系统拓展矛盾纠纷化解途径、构建和谐营商环境的重要举措，将填补化解合同纠纷、结算纠纷等问题的空白，对维护建设市场秩序具有重大的意义。","2021-10-12 00:00:00.0"
"为相应国务院号召，完善建设领域矛盾纠纷多元化解机制，推动矛盾纠纷的依法化解、妥善解决，今天，我局会同青岛市住建局和即墨区信访局、公安局、人社局、司法局共同举行“青岛建纬城乡建设调解中心即墨区中心”揭牌仪式，","“即墨调解中心”的成立，","区住建局","房产服务中心、住宅保障发展服务中心、市政公用事业服务中心、园林服务中心、建筑业发展服务中心、法规科、各镇街环卫部门负责人","“即墨中心”的成立，是我区建设系统拓展矛盾纠纷化解途径、构建和谐营商环境的重要举措，将填补化解合同纠纷、结算纠纷等问题的空白，对维护建设市场秩序具有重大的意义。","2021-10-12 00:00:00.0"
"我区在墨河公园北广场举行“创城有我，共建家园”全民共建全国文明典范城市暨文明实践活动动员仪式。","“创城有我，共建家园”","区住建局","房产服务中心、住宅保障发展服务中心、市政公用事业服务中心、园林服务中心、建筑业发展服务中心、法规科、各镇街环卫部门负责人","我区在墨河公园北广场举行“创城有我，共建家园”全民共建全国文明典范城市暨文明实践活动动员仪式。我局3名机关干部、25名环卫工人代表住建系统参加活动。于文情同志代表全区机关干部进行了现场发言；25名环卫工人活动开始前、结束后主动清理维护现场环境卫生","2021-10-22 00:00:00.0"
"我区在墨河公园北广场举行“创城有我，共建家园”全民共建全国文明典范城市暨文明实践活动动员仪式。","“创城有我，共建家园”","区住建局","房产服务中心、住宅保障发展服务中心、市政公用事业服务中心、园林服务中心、建筑业发展服务中心、法规科、各镇街环卫部门负责人","我区在墨河公园北广场举行“创城有我，共建家园”全民共建全国文明典范城市暨文明实践活动动员仪式。我局3名机关干部、25名环卫工人代表住建系统参加活动。于文情同志代表全区机关干部进行了现场发言；25名环卫工人活动开始前、结束后主动清理维护现场环境卫生","2021-10-22 00:00:00.0"
"我区在墨河公园北广场举行“创城有我，共建家园”全民共建全国文明典范城市暨文明实践活动动员仪式。","“创城有我，共建家园”","区住建局","房产服务中心、住宅保障发展服务中心、市政公用事业服务中心、园林服务中心、建筑业发展服务中心、法规科、各镇街环卫部门负责人","我区在墨河公园北广场举行“创城有我，共建家园”全民共建全国文明典范城市暨文明实践活动动员仪式。我局3名机关干部、25名环卫工人代表住建系统参加活动。于文情同志代表全区机关干部进行了现场发言；25名环卫工人活动开始前、结束后主动清理维护现场环境卫生","2021-10-22 00:00:00.0"
"在西部垃圾焚烧发电厂召开环卫专班工作、进场垃圾调度和新安全生产法学贯会议。各镇街环卫部门负责人、各运输企业负责人参会","《安全生产法》学习培训","西部垃圾焚烧发电厂","房产服务中心、住宅保障发展服务中心、市政公用事业服务中心、园林服务中心、建筑业发展服务中心、法规科、各镇街环卫部门负责人","就当前创城环境卫生专班工作、进厂垃圾质量和时段控制、城乡环卫工作、青岛八月份对我区环卫考核情况、环卫行业安全生产情况等进行了逐项布置，要求各镇街要切实按照上级要求做好当前工作，补齐工作短报、优化工作流程、创新工作方法，坚决完成好各项环卫工作任务。","2021-09-22 00:00:00.0"
"在西部垃圾焚烧发电厂召开环卫专班工作、进场垃圾调度和新安全生产法学贯会议。各镇街环卫部门负责人、各运输企业负责人参会","《安全生产法》学习培训","西部垃圾焚烧发电厂","房产服务中心、住宅保障发展服务中心、市政公用事业服务中心、园林服务中心、建筑业发展服务中心、法规科、各镇街环卫部门负责人","就当前创城环境卫生专班工作、进厂垃圾质量和时段控制、城乡环卫工作、青岛八月份对我区环卫考核情况、环卫行业安全生产情况等进行了逐项布置，要求各镇街要切实按照上级要求做好当前工作，补齐工作短报、优化工作流程、创新工作方法，坚决完成好各项环卫工作任务。","2021-09-22 00:00:00.0"
"在西部垃圾焚烧发电厂召开环卫专班工作、进场垃圾调度和新安全生产法学贯会议。各镇街环卫部门负责人、各运输企业负责人参会","《安全生产法》学习培训","西部垃圾焚烧发电厂","房产服务中心、住宅保障发展服务中心、市政公用事业服务中心、园林服务中心、建筑业发展服务中心、法规科、各镇街环卫部门负责人","就当前创城环境卫生专班工作、进厂垃圾质量和时段控制、城乡环卫工作、青岛八月份对我区环卫考核情况、环卫行业安全生产情况等进行了逐项布置，要求各镇街要切实按照上级要求做好当前工作，补齐工作短报、优化工作流程、创新工作方法，坚决完成好各项环卫工作任务。","2021-09-22 00:00:00.0"
